Item,Size,Fat,Carbohydrates,Protein,Rest,Sodium,Calories,Calories from Fat,Fiber,Sugars
Big Mac,980,43,146,28,763,1155,1070,380,7,64
Quarter Pounder with Cheese,971,42,140,34,755,1295,1060,380,7,65
Double Quarter Pounder with Cheese,1052,59,141,52,800,1475,1290,520,7,65
Premium Crispy Chicken Classic Sandwich,982,38,154,28,762,1185,1050,340,7,65
Premium Grilled Chicken Classic Sandwich,969,25,141,32,771,1015,890,220,7,63
Chicken McNuggets (10 piece),931,46,129,26,730,1095,1010,410,6,55
Filet-O-Fish,911,35,138,19,719,785,930,310,6,60
